mRNA	sample1	sample2	sample3	sample4	sample5	sample6	sample7	sample8	sample9	sample10	sample11	sample12	sample13	sample14	sample15	sample16	sample17
Chili_GLEAN_111365	0	3.620551788	0	2.215660169	3.509324126	0.827109835	2.30927121	0.813437057	6.295202432	0.779326103	0.587783023	0.295096165	0.301120011	0.705693249	1.978768767	4.818447077	20.10103611
Chili_GLEAN_103196	0.252110664	0.485297125	0.0433609	1.840661027	0.671043334	0.736828693	0.448993894	1.409038427	0.822170035	0.385700376	0.436354176	0.511166577	0.447086661	0.174629177	0.08902935	1.311597628	0.802283016
Chili_GLEAN_134672	1.404140579	1.067291882	2.70480325	38.42545948	12.82442237	0.691565844	1.803527735	0.732451693	0.731050796	1.303225501	0.756090937	1.233683966	1.35570331	0.737558253	2.140430293	0.206605954	1.668183188
Chili_GLEAN_139358	0.607123641	0	0	0	0	0.690045919	1.032102847	1.017958374	0	0.650180634	0	0	0	0	0	0.334996797	3.042944868
Chili_GLEAN_129509	0.771427729	1.017657846	0.759889032	0	0.115292827	0.557957922	0.635838938	0.705515705	0.800462575	0.525723615	0.424833274	0.639861981	0.217641196	0.935101781	1.126823619	0.270871997	0.702990564
Chili_GLEAN_140676	0	0	0	0	0.215640287	0.447251985	0	0	0	0	0	0.199463148	0	0	0	0	0.87656848
Chili_GLEAN_115293	1.567059545	12.60429066	2.905436087	0.170399486	0.103049341	0.356218395	0.426237164	5.430112269	2.296995774	79.04297758	26.07398553	4.511750505	3.469097945	1.595616152	0.077473918	0	0
Chili_GLEAN_105535	0.199836935	0.345219802	0	86.95597958	113.0874449	0.264986286	0.150986832	0.14891763	0.160066102	0	0	0.033764922	0.068908341	0	0.288159259	0	0.074192317
Chili_GLEAN_109088	0.67592294	0.525447874	0.661189065	3.812747789	0.092600998	0.240075618	0.239387672	0.377771166	0.456808924	0.678617958	0.426522472	0.599579086	0.961428902	1.075375498	0.156642097	2.470851125	0.988100057
Chili_GLEAN_103293	3.198524417	3.11348498	8.773203998	0.362924141	1.432709552	0.158060256	0.189128794	0.435252708	2.071850364	2.502004012	4.18410729	3.242581547	33.28913254	6.978881341	0.756283351	15.80711325	1.208150013
Chili_GLEAN_111624	0	0	0	0	0	0.150009982	0	0	0	0	0	0	0	0.319972715	0	0.145650781	0
Chili_GLEAN_100376	0.032050268	0	0	7.736907714	12.54031209	0.10928329	0.108970135	0.143302335	0	0.137293045	0.097077287	0.097475204	0.066309987	0	0.198066804	0.176845971	0.142789436
Chili_GLEAN_105513	0	0.147324571	0	0	0	0.107699475	0.214781715	0.39719669	0.170772864	0.050738734	0.047835185	0.144093779	0	0.057431	0.322073846	2.718814583	0.290235049
Chili_GLEAN_107401	0.033254034	0	0	0.072319782	0.218677474	0.075591885	0.150750546	0.074342291	0.159815607	0	0.100723382	0	0.103200755	0.161238207	0.041101187	1.541299816	0
Chili_GLEAN_138616	1.028193263	1.065726938	1.237883746	0	0	0	0	3.831026138	0	0	0.346033554	0.347451936	2.127267175	0.415448445	0	0.75644438	0.76346287
Chili_GLEAN_138395	0	0	0.604321199	0	0	0	0	0	0	0.08959182	0	0	0	0	0	286.7519825	0
Chili_GLEAN_136601	0	0.395659103	0.919147212	5.534412056	0.278911988	0	0.43261796	1.422297129	0.917265025	1.090123219	0	0.515976527	0	0	0	1.544596009	1.70064783
Chili_GLEAN_135155	0.051576037	1.069175892	0.434661445	0.392580564	0.282635328	0	0.17535728	1.09537592	0.309836689	1.325611002	0.468657095	0.104572913	0.106707577	0.250075763	0.063746743	0.113833863	0
Chili_GLEAN_134703	0	0	0	0	0	0	0	0	0.089896279	0	0	0	0	0	0	0	0
Chili_GLEAN_133581	0	0	1.162860488	0	0	0	0	0	0	0.344792761	0.97518547	0	0.666113964	0.390269751	0	0	0
Chili_GLEAN_131476	0.191435382	0	0	0	0.419624343	0	0	0	0.460009787	0	0.193280003	0	0	0	0	0	0
Chili_GLEAN_130761	0	0	0	0	0.170616491	0	0	0.609034924	0	0	0	0	0	0.188701858	0	0.257689844	0
Chili_GLEAN_126482	0	0.145861082	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chili_GLEAN_126033	0	0	0	0	0	0	0	0.805164815	0.649081607	0.385700376	0	0	0	0	0	0	0
Chili_GLEAN_122198	0	0	0.237428592	0	0.216140613	0	0	0	0	0.052798891	0	0	0	0	0.121873124	4.624665756	0.109825285
Chili_GLEAN_120108	0	0.181275913	0.140372734	0.031695707	0	0	0.033034842	0	0	0	0	0	0	0.211998384	0.072053932	0.289503405	0.064930999
Chili_GLEAN_118012	0	0	2.459897187	0	0.895736578	0	0	0	0.490971985	0	0	0	5.636348926	0	0.168356783	4.960529491	0.303427551
Chili_GLEAN_114481	0	0	0	113.9405484	5.562995588	0	0	0	0	0	0	0	0	0	0	0	0
Chili_GLEAN_113304	21.88680726	15.19726613	66.00396131	1.617431923	10.94590098	0	6.261423938	3.087807067	2.55305432	21.6185061	10.94158097	28.00462602	17.80522626	38.37912736	70.9118771	20.16680717	46.86135097
Chili_GLEAN_113206	0	0	0.113198809	1.226876301	2.679282861	0	0	0	0	0	0	0	0	0	0	0	0
Chili_GLEAN_111513	0	0	0	0.142630681	0.143760191	0	0	0.146619519	0	0.140471125	0	0	0	0.158998788	1.783334815	0	0.21914212
Chili_GLEAN_111439	0.086731949	0	0	0	0	0	0.098295509	0.193896833	0	0.185765896	0.087567675	0.087926612	0	0	0	0.191426741	0
Chili_GLEAN_110494	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.045282169	0	0
Chili_GLEAN_108222	0	0	0	0	0.93907867	0	0	0	0	0	0	0	0	0	0	0	0
Chili_GLEAN_107854	0.210042775	0	0.168586035	0.49486032	0.383676294	0	0	0	0.084120406	0	0	0	0.72427548	0.084869205	1.081699266	1.274864251	0.155962761
Chili_GLEAN_105327	1.145173335	1.05509094	0	0	0	0	0	0.142229713	0.305755008	0	0	0	0	3.855958622	0	0	0
Chili_GLEAN_104727	0.09119883	30.48527914	0.329393958	0	0	0	0	42.2547385	27.72200613	0	3.130638331	3.374608286	0	0.055274257	0	0.603856887	0
Chili_GLEAN_102871	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
Chili_GLEAN_102631	0.156245055	0	0	0.679593245	0.171243757	0	0	0.523949163	0	0	0	0	0	0	0	0.344849644	0.174024625
Chili_GLEAN_102630	0.615922534	0.159601619	0.185383556	0.502308051	1.350095711	0	0.698040573	1.376948525	0.370007872	0.329801771	0.621857401	2.029320726	1.274304974	1.493206006	2.09348	0	0.343005058
Chili_GLEAN_100285	1.782201656	1.278872325	0.660204664	0.074536033	0.075126294	0	0.077685161	0	0.329426364	0.73407491	0.276826843	0.138980774	0.425453435	0.166179378	0.169442956	0.075644438	0.076346287
Chili_GLEAN_100201	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
